"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-06-06,0,0.00023915746615649,0.0217181469231471,0.0197065381342351,0.0151697119150434,0.0122246769366925,0.0347908183466898,0.0197964611860227,0.0293812328191817,0.0523613573899166
2021-06-07,0,0.000253895053238582,0.0224642566466605,0.0203910223010265,0.0157838422184548,0.012815714974648,0.0365032461980839,0.021677906536991,0.0326302761462603,0.0567513880787439
2021-06-08,0,0.000269537761834531,0.0232341238701432,0.0210976671131408,0.0164217320205081,0.0134345094836408,0.0382945330365603,0.0237301631997467,0.0362116376996262,0.0614689391594819
2021-06-09,0,0.000286141115391153,0.0240284472823871,0.0218271422133836,0.0170842537870499,0.0140823106123478,0.0401678407673274,0.0259672046523117,0.0401534257098542,0.0665319243704607
2021-06-10,0,0.000303764033792892,0.0248479420261069,0.0225801340292635,0.017772308118132,0.0147604195363992,0.0421264122895667,0.0284038594141583,0.0444848982035659,0.0719582343950654
2021-06-11,0,0.00032246903991375,0.0256933398046811,0.0233573459550957,0.0184868243382476,0.0154701900253158,0.0441735689533787,0.0310558093114025,0.0492362521188827,0.0777655681286956
2021-06-12,0,0.000342322478576888,0.0265653889672743,0.0241594985175185,0.0192287610713215,0.0162130300047815,0.0463127074383877,0.0339395758952637,0.0544383551765756,0.0839712451890848
2021-06-13,0,0.000363394748647692,0.0274648545704562,0.0249873295227357,0.0199991067973503,0.0169904031075018,0.048547296009143,0.037072492941091,0.0601224176514806,0.0905920009755627
2021-06-14,0,0.000385760549026067,0.0283925184143435,0.0258415941837015,0.0207988803873451,0.017803830205135,0.0508808701019172,0.0404726628753032,0.0663196032741612,0.0976437662826634
2021-06-15,0,0.000409499139345568,0.0293491790511993,0.0267230652253726,0.0216291316129658,0.0186548909129668,0.0533170271973578,0.0441588949580662,0.0730605811390293,0.105141434204426
2021-06-16,0,0.000434694616230703,0.0303356517643316,0.027632532966054,0.0224909416269713,0.0195452250581233,0.055859420933775,0.0481506231084037,0.0803750236364797,0.113098617794424
2021-06-17,0,0.000461436206009459,0.0313527685150429,0.02857080537277,0.0233854234103257,0.0204765341011963,0.0585117544167006,0.0524678014142983,0.0882910589251113,0.121527402633504
