"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-04-28,0,0.000148617054477956,0.0147553827797914,0.0130623951122024,0.00951115749625122,0.00691884351265488,0.00980658010121694,0.00192677408400834,0.00189581285529194,0.00616081519891878
2021-04-29,0,0.00015804050537474,0.0153329500526249,0.0135777406498742,0.00993428477557479,0.00727531071677152,0.0103330232722241,0.00211749253544393,0.00211962938149479,0.0067291530062886
2021-04-30,0,0.000168042079004466,0.0159291080106956,0.0141099150340969,0.0103739436708359,0.00764871282757765,0.0108856585183139,0.0023269331527388,0.00236970310006142,0.00734893804240776
2021-05-01,0,0.000178657284628361,0.0165444317339857,0.0146594499057542,0.0108307642901769,0.00803983859621257,0.0114657481142515,0.00255691694984798,0.00264908167378736,0.00802469644624803
2021-05-02,0,0.000189923809371547,0.017179511845604,0.0152268918716255,0.0113053989778074,0.0084495115676605,0.0120746104122264,0.00280943853572409,0.00296115836754053,0.00876132763619004
2021-05-03,0,0.000201881651394188,0.0178349547774257,0.0158128027987395,0.0117985229531594,0.00887859142412741,0.0127136218407218,0.00308668193841574,0.00330970922660948,0.00956413040501283
2021-05-04,0,0.000214573261154746,0.0185113830287956,0.0164177601051313,0.0123108349560785,0.00932797536099592,0.0133842189218113,0.00339103772224888,0.00369893375540184,0.0104388299410931
2021-05-05,0,0.000228043691250583,0.0192094354171993,0.0170423570461094,0.0128430578968893,0.00979859949402329,0.0140879003003819,0.00372512147236249,0.00413349929957511,0.011391605618628
2021-05-06,0,0.000242340755349439,0.019929767319729,0.0176872029950662,0.0133959395100353,0.0102914402961443,0.014826228777878,0.00409179371803668,0.00461858931141121,0.0124291193508623
2021-05-07,0,0.000257515196755101,0.0206730509041004,0.018352923717801,0.0139702530098504,0.0108075160619056,0.015600833342185,0.00449418136132472,0.00515995564248692,0.013558544243643
2021-05-08,0,0.000273620867182034,0.0214399753478907,0.0190401616392493,0.0145667977468631,0.0113478883971912,0.0164134111842131,0.00493570066999155,0.00576397495629676,0.0147875932215744
2021-05-09,0,0.000290714916346821,0.0222312470445939,0.0197495761014374,0.0151863998628698,0.0119136637314927,0.0172657296906026,0.0054200818830974,0.0064377092827828,0.0161245472251657
2021-05-10,0,0.000308857993019154,0.0230475897949984,0.0204818436114011,0.0158299129428361,0.0125059948495403,0.018159628400752,0.00595139546308683,0.00718897064250353,0.0175782824944387
2021-05-11,0,0.00032811445821179,0.0238897449823095,0.0212376580777288,0.0164982186615009,0.0131260824386251,0.0190970209150609,0.00653408000919897,0.00802638954569958,0.0191582963625475
2021-05-12,0,0.000348552611227473,0.0247584717293464,0.022017731034299,0.0171922274223552,0.0137751766474243,0.0200798967398903,0.00717297182255383,0.00895948701559663,0.0208747308825412
2021-05-13,0,0.000370244929321413,0.0256545470360557,0.0228227918497001,0.017912878986462,0.0144545786515678,0.0211103230532613,0.00787333608244609,0.00999874959042316,0.0227383935024494
2021-05-14,0,0.00039326832178049,0.0265787658954845,0.0236535879207249,0.0186611430883575,0.0151656422205765,0.022190446373755,0.00864089955515443,0.0111557065192317,0.0247607738900258
2021-05-15,0,0.000417704399265107,0.0275319413862654,0.0245108848482423,0.0194380200360434,0.0159097752801343,0.0233224941134296,0.00948188470983362,0.0124430080774096,0.0269540558911861
2021-05-16,0,0.000443639759306491,0.028514904739566,0.0253954665936502,0.0202445412918326,0.0166884414629466,0.0245087759938527,0.0104030450596258,0.013874503584295,0.029331123488785
2021-05-17,0,0.000471166288901429,0.0295285053783564,0.0263081356140169,0.021081770030552,0.017503161640672,0.0257516853025535,0.0114117014788101,0.0154653173046911,0.0319055595153561
2021-05-18,0,0.000500381485197842,0.0305736109267526,0.0272497129739175,0.0219508016713378,0.0183555154285958,0.0270536999653461,0.0125157791674405,0.0172319199579683,0.0346916357704205
2021-05-19,0,0.000531388795318454,0.0316511071870896,0.0282210384318685,0.0228527643789774,0.0192471426538445,0.0284173834080655,0.0137238448424358,0.0191921930463276,0.0377042931068648
2021-05-20,0,0.000564297976425997,0.0327618980822827,0.0292229704991628,0.0237888195304567,0.0201797447770095,0.0298453851793132,0.0150451436276093,0.0213654826564235,0.040959109989867
2021-05-21,0,0.000599225477192077,0.0339069055609336,0.030256386468798,0.0247601621420719,0.0211550862560743,0.0313404413038348,0.0164896349941129,0.0237726388016927,0.0444722580052292
